id,set,status,program,subsection,page,question,reference_answer,supporting_quote,decision,corrected_answer,notes
G-01-002-03,golden,draft,1,1.2,14,How much clear space do I need to leave in front of a panel or switch gear when I'm cleaning up the work area?,"According to the housekeeping rules, you must clear the areas in front of and surrounding electrical installations like switch gear, power panels, and transformers. A minimum of 3 feet of space is required in front of these units.",A minimum of 3 feet of space is required in front of these units.,,,question_type=threshold; drafted by claude-sonnet-5
G-01-005-04,golden,draft,1,1.5,15,Is it okay for me to just do the toolbox talk on my own without documenting anything?,"No, mechanics and helpers must attend or conduct a toolbox meeting weekly, and this meeting has to be documented. If you're working as part of a team, you and your teammates must hold the weekly toolbox talk together and document the topics discussed, then turn the documentation into your supervisor.",Mechanics working in a team shall hold a weekly toolbox talk safety meeting and document topics discussed.,,,question_type=rule; drafted by claude-sonnet-5
G-02-001-01,golden,draft,2,2.1,19,When exactly does a JHA have to be done for a job?,"A JHA is required when leadership or the project supervisor believes the task has potential for injury or property damage, when project specs call for it, when it's a condition for supervisors who don't meet safety pre-qualification requirements, or whenever anyone on site feels it's needed. So it's not just one trigger - any of these situations means you need one.","When leadership and/or the project supervision believes the process, task, or procedure indicates a potential for injury and/or property damage.",,,question_type=condition; drafted by claude-sonnet-5
G-02-001-02,golden,draft,2,2.1,19,"If the JHA finds a hazard that can't be controlled, can we still start the job?","No. All recognized hazards must be removed or mitigated before work starts. If that's not possible, the work has to be postponed until the Company decides it's safe to proceed.","All recognized hazards will be removed or mitigated before work is started. When this is not possible, work will be postponed until it is deemed safe by the Company.",,,question_type=rule; drafted by claude-sonnet-5
G-02-002-03,golden,draft,2,2.2,19,"Do guys have to be briefed on the JHA before they start working, and does the JHA ever change?","Yes, personnel involved in the operation must be instructed on the hazards and control methods identified in the JHA before starting work. Also, JHAs aren't a one-time thing - they are living documents and should be updated as needed, potentially reviewed weekly or daily depending on the job.","Prior to the work, personnel involved with the operation will be instructed on the hazards involved and methods required to eliminate or control those hazards using the JHA.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-03-002-02,golden,draft,3,3.2,21,Can I bring in my own can of spray lube from home to use on a job?,"No, outside chemicals brought from home or another organization are not allowed at Company facilities or jobsites. This is so all chemicals can be properly vetted and documented on the Chemical Inventory List. If you need a chemical that isn't already approved, notify the Safety Manager so it can be reviewed and added to the program.","Outside chemicals (i.e., chemicals brought from home or from another organization) are not permitted in Company facilities nor on Company jobsites.",,,question_type=rule; drafted by claude-sonnet-5
G-03-004-03,golden,draft,3,3.4,23,I poured some hydraulic oil into a smaller squeeze bottle to use on site - does that bottle need a label too?,"Yes, secondary containers must be labeled even though they aren't the original manufacturer container. The label needs the product identifier and an appropriate hazard warning (words, pictures, or symbols) describing the hazard, such as 'flammable' or 'causes lung damage'. This is required so the contents are identifiable in case of exposure and to prevent improper mixing or misuse.","These portable secondary containers must also be labeled with certain information as indicated below. This is important because the contents must be readily identified in case of overexposure, to prevent improper mixtures, and to ensure proper use and disposal.",,,question_type=rule; drafted by claude-sonnet-5
G-03-005-04,golden,draft,3,3.5,24,"If we try out a brand new cleaning chemical on a piece of equipment we're considering buying, what do we need to do before using it?","This counts as a product trial, so before starting you must obtain the SDS for the chemical, review its hazards, determine the proper protective measures, and train the employees who will use it. You should also fill out the Non-Routine Task/Product Trial Form and consider using a Job Hazard Analysis to check for mixing or air quality issues. Basically treat it like any new chemical - don't just start using it without going through these steps first.","Before employees start a non-routine task, obtain an SDS, review the hazards, determine proper employee protective measures, and conduct training with employees who will be using the product(s).",,,question_type=procedure_step; drafted by claude-sonnet-5
G-03-008-05,golden,draft,3,3.8,27,"How long do old SDS sheets need to be kept once we stop using a chemical, and where do they go?","When a chemical is taken out of use, its SDS must be moved to an inactive/archive SDS file, noting both the date the chemical was taken out of use and the date it was archived. These archived SDS records, along with old Chemical Inventory Lists, must be kept for thirty years. Regular training records, by contrast, only need to be kept a minimum of three years, so don't mix these up.",SDS on chemicals taken out of use must also be filed in an inactive SDS file (archive). Note the date the chemical was taken out of use and the date the SDS was archived.,,,question_type=threshold; drafted by claude-sonnet-5
G-04-002-01,golden,draft,4,4.2,29,"If I find what might be asbestos material while doing a repair, what am I supposed to do?","You cannot confirm asbestos just by looking at it, so if you suspect a material contains asbestos, treat it as if it does. Contact your supervisor immediately and do not disturb the material; testing by a licensed asbestos lab is required for accurate identification.","If you suspect a material contains asbestos, treat it as if it does and contact your supervisor.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-04-004-02,golden,draft,4,4.4,31,Are we allowed to keep working if a building owner's test comes back showing asbestos but the levels are under the PEL?,"Yes, but only under specific conditions. If the material is confirmed ACM but exposure levels are lower than the PEL, the supervisor or owner must post signs and notify employees not to disturb the area before work can continue. If levels are above the PEL, work cannot proceed until the ACM is abated.","If the material is ACM and exposure levels are lower than the PEL, the supervisor or owner must post signs and notify employees not to disturb the area containing asbestos.",,,question_type=condition; drafted by claude-sonnet-5
G-04-008-03,golden,draft,4,4.8,32,"How long do I need to keep asbestos training records for field techs, and what about exposure monitoring records?","Training records for field employees must be kept for three years. Employee exposure monitoring records, however, must be maintained for at least 30 years and made available to affected employees, former employees, their representatives, or OSHA when requested.","Monitoring Records - All records of all employee exposure monitoring will be maintained for at least 30 years and made available to the affected employees, former employees, their designated representative, and/or OSHA's Assistant Secretary when requested.",,,question_type=threshold; drafted by claude-sonnet-5
G-05-007-01,golden,draft,5,5.7,36,Can I keep using a grinder if it sounds a bit off when I tap the wheel before mounting it?,"No. Before mounting an abrasive wheel, inspect it and ring-test it by tapping gently with a non-metallic instrument. If it sounds cracked or dead rather than giving a clear metallic ring, do not use it because it could fly apart during operation. Get a replacement wheel instead.","Do not use it if they sound cracked or dead because they could fly apart in operation. An undamaged wheel will give a clear metallic tone or ""ring.""",,,question_type=condition; drafted by claude-sonnet-5
G-05-007-02,golden,draft,5,5.7,37,Am I allowed to bring a powder-actuated nail gun on site?,"No, powder-actuated tools are prohibited under this program. If a job seems to require one, check with your supervisor for an alternative tool or method rather than using a powder-actuated tool.",Powder-Actuated tools are prohibited.,,,question_type=rule; drafted by claude-sonnet-5
G-05-007-03,golden,draft,5,5.7,37,What's the max PSI I can run compressed air at if I'm just using it to blow off dust/debris?,"When using pneumatic equipment for cleaning purposes, the pressure must be set at no more than 30 PSI. You also need to wear proper safety glasses and other required PPE while doing this. Never point the air gun at yourself or anyone else.","If using pneumatic equipment to clean with, the PSI will be set at no more than 30 PSI and proper safety glasses and other PPE will be worn.",,,question_type=threshold; drafted by claude-sonnet-5
G-05-008-04,golden,draft,5,5.8,38,"How often do I need to inspect a jack I use pretty regularly, versus one that took a shock load?","Jacks in constant or intermittent use must be inspected at least once every year. Jacks that have been subjected to an abnormal load or shock must be inspected immediately before and after that event. Any jack found defective must be tagged and taken out of service until repaired, and the manufacturer's rated capacity marked on it must never be exceeded.","For constant and intermittent use, once every year.
2. For jacks subjected to abnormal load or shock, immediately before and thereafter.",,,question_type=threshold; drafted by claude-sonnet-5
G-06-004-01,golden,draft,6,6.4,41,Can I grab a ladder from another trade or the customer if mine isn't handy?,"No, borrowing ladders from other trades or customers is against policy, even though it may be tempting. This is because the ladder may have known or unknown hazards that put you at risk. Always use company-issued and inspected ladders.","It is often tempting to borrow ladders from other trades or customers. However, this is against policy due to the possible hazards that may be known or unknown.",,,question_type=rule; drafted by claude-sonnet-5
G-06-004-02,golden,draft,6,6.4,42,At what height do I need to tie off with a harness while on a ladder?,"If you are working six feet or more above the ground or floor on a ladder, you must wear a safety harness with the lanyard tied off to a proper structure. This applies regardless of ladder type. Always confirm the anchor point is proper before starting work.","When working six (6) feet or more above the ground or floor, wear a safety
harness with the lanyard tied off to a proper structure.",,,question_type=threshold; drafted by claude-sonnet-5
G-06-009-03,golden,draft,6,6.9,45,My ladder's rungs are corroded and one's missing - what do I do with it?,"If a ladder has structural defects like broken/missing rungs, corroded parts, or split rails, you must immediately mark it defective or tag it 'DANGER - DO NOT USE' and remove it from service. You cannot field modify or repair it yourself since the company does not repair ladders. Bring the defective ladder to your supervisor, who will issue a replacement as soon as possible.","Axxiom Elevator will not repair ladders. If your ladder is defective for any reason, bring it in and turn it in to your supervisor. The supervisor will then issue you a replacement ladder as soon as possible.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-06-002-04,golden,draft,6,6.2,40,"If a customer's site doesn't have a safe way to get up to the equipment, what am I supposed to do?","If the customer worksite doesn't allow safe access to the elevator equipment or workspaces, you must notify the office immediately before proceeding and note the conditions on the time ticket. Don't attempt to access the area using an unsafe stairway or ladder setup. Check with a supervisor if you're unsure how to proceed after notifying the office.",If the customer worksite doesn’t allow safe access to elevator equipment and/or elevator workspaces the employee will notify the office immediately before proceeding and note conditions on the time ticket.,,,question_type=condition; drafted by claude-sonnet-5
G-07-008-03,golden,draft,7,7.8,53,"If I find the main-line disconnect isn't feeding power to the controller, can I just pop the cover and check the fuses myself?","No. You must never open the main-line disconnect switch cover or the 110 disconnect switch cover for any reason. Instead, advise the building owner to correct the condition, notify your supervisor immediately, and document the situation on the time ticket, since this is not the elevator company's responsibility.","DO NOT OPEN THE MAIN-LINE DISCONNECT SWITCH COVER or the 110 disconnect switch cover for any reason. If power is not being supplied to the elevator controller (e.g. open main-line fuses, etc.), advise the building owner to correct the condition and notify your supervisor immediately",,,question_type=rule; drafted by claude-sonnet-5
G-07-001-04,golden,draft,7,7.1,46,What's the minimum voltage rating my meter or tester needs to have?,"Voltage testers and meters must have a minimum 1000V tolerance. Additionally, all electrical conductors and equipment used, including insulated tools, must be approved by a supervisor before use.",Voltage testers and meters shall have a minimum 1000V tolerance.,,,question_type=threshold; drafted by claude-sonnet-5
G-07-004-05,golden,draft,7,7.4,50,Can I splice an extension cord if it gets cut on the job?,"No, splicing of any cords is prohibited - flexible cords must be used only in continuous lengths. If a cord is damaged, either have it replaced or repaired by a qualified person, though cords smaller than No. 14 gauge cannot be repaired in the field and must be replaced entirely.",Flexible cords shall be used only in continuous lengths. Splicing of any cords is prohibited.,,,question_type=rule; drafted by claude-sonnet-5
G-07-008-06,golden,draft,7,7.8,52,"How close does an arc flash hazard actually reach on elevator controllers, and what should I be wearing if I have to work that close?","Based on the company's Arc-Flash Hazard Analysis, the arc-flash boundaries at elevator/escalator controllers range from 3 to 16 inches from exposed components, meaning the hazard is primarily to hands and arms. Within that 3-16 inch range, use appropriate PPE such as non-conductive eye protection, clean leather or fire-resistant gloves, and natural fiber or fire-resistant long-sleeved shirts, pants, or coveralls. The surest way to avoid the hazard altogether is to lock-out, tag-out, and verify a zero-energy state before working.",the arc-flash boundaries at the elevator / escalator controllers ranged from 3 in. to 16 in. from the exposed components and the incident energy calculated at 18 in. ranged from 0.06 cal/cm2 to 0.95 cal/cm2,,,question_type=threshold; drafted by claude-sonnet-5
G-09-006-02,golden,draft,9,9.6,66,Can I use a jumper to help figure out which circuit is causing a fault?,"No, jumpers shall not be used as a diagnostic tool. You should always use a meter to troubleshoot circuits instead of jumpering things out to test them.",Jumpers shall not be used as a diagnostic tool. Always use a meter to troubleshoot circuits.,,,question_type=rule; drafted by claude-sonnet-5
G-09-006-03,golden,draft,9,9.6,66,Is it ok to jump out both the door and gate circuits at the same time?,"No, you should not jump out a door and gate at the same time. You may only deviate from this when a second qualified person is on site and in direct communication, and extreme caution must be used whenever these circuits are jumped out.",Do not jump out a door and gate at the same time. NOTE: You may deviate from this requirement only when a second qualified person is on site and in direct communication.,,,question_type=condition; drafted by claude-sonnet-5
G-09-006-04,golden,draft,9,9.6,66,"If I find an elevator running with circuits still jumped out and I have to leave the site before fixing it, what do I need to do?","Safety circuits and pit stop switches should never be left jumped out. If you have a temporary need to leave a site with circuits jumped out, you must get supervisor approval, and the unit must be LOTOTO'd and noted on the time ticket.","In any instance where an elevator is found to have circuits jumped out, or there is a temporary need to leave a site with circuits jumped out, supervisor approval is required, and the unit must be LOTOTO and noted on time ticket.",,,question_type=condition; drafted by claude-sonnet-5
G-09-008-05,golden,draft,9,9.8,67,When am I actually allowed to use inspection operation with the door open?,"Inspection operation with open door circuits should only be used when it's necessary to move an elevator because the car gate or door lock circuit is electrically open. Before using it, you must identify the specific problem circuit and bypass only that one, perform a Job Hazard Analysis, install barricades, and place the elevator on inspection via the car top or in-car switches before switching to bypass. Whenever possible, operate the elevator from the top of the car.","Once a decision has been made to utilize door bypass circuitry, a Job Hazard Analysis must be performed, and barricades installed.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-09-009-06,golden,draft,9,9.9,68,What should I do if my jumper kit has some damaged wires when I check it before use?,"If inspection reveals any issues with the jumpers, such as damage, corrosion, cracking or fraying, do not use those jumpers. Contact your supervisor so you can be issued a new kit.","If after inspection, any issues are found with any of the jumpers, do not use the jumpers. Contact your supervisor to be issued a new kit.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-09-010-07,golden,draft,9,9.10,68,Do I need to de-energize circuits before testing jumpers with a meter?,"Yes, before testing jumpers you should review safety procedures and then ensure that all relevant circuits are de-energized to prevent electrical shock or fire hazards, before performing continuity and resistance tests.","Before testing jumpers, ensure that all relevant circuits are de-energized to prevent electrical shock or fire hazards.",,,question_type=procedure_step; drafted by claude-sonnet-5
G-09-002-08,golden,draft,9,9.2,64,Who decides whether we should use a jumper versus doing a full LOTOTO to diagnose a problem?,"The Foreman, Mechanic in Charge (MIC), or the onsite Mechanic is responsible for determining whether jumper use or removal, versus full Lockout/Tagout/Tryout, is appropriate for diagnosing problems.","The Foreman, Mechanic in Charge (MIC), or Mechanic onsite will be responsible for determining the need for jumper use or removal as opposed to full Lock Out Tag Out Try Out (LOTOTO) for diagnosing problems.",,,question_type=responsibility; drafted by claude-sonnet-5
G-10-011-01,golden,draft,10,10.11,74,How far away do I need to be from a forklift for it to count as 'unattended' so I have to shut it off and set the brake?,"An operator is considered away from the PIT (making it unattended) if they are 25 feet or more from it, or if it is out of their view. In that case, the truck must be turned off, forks lowered to the ground, and the parking brake engaged, and it must be parked in an authorized area without blocking exits.",Unattended is when an operator is 25 ft or more away from PIT or it is out of view of operator. Park in authorized areas.,,,question_type=threshold; drafted by claude-sonnet-5
G-10-013-02,golden,draft,10,10.13,79,At what wind speed do I need to bring an aerial lift down or ground it completely?,"At 20 mph wind speeds or anticipated gusts, the lift must be lowered to a maximum height of 20 feet. At 25 mph wind speeds or anticipated gusts, the lift must be grounded entirely, since aerial lifts generally shouldn't be operated in winds over 25 mph. If you feel unsafe at any wind level, you can ground the lift and stop the task with no questions asked.","At 20mph wind speeds or anticipated gusts, lifts will be lowered to a maximum height of 20 feet.
● At 25mph wind speeds or anticipated gusts, lifts will be grounded.",,,question_type=threshold; drafted by claude-sonnet-5
G-10-012-03,golden,draft,10,10.12,77,Can I do maintenance myself if I notice something wrong with the forklift?,"No, operators should not attempt to conduct maintenance on PIT equipment themselves. Instead, any operational, functional, or safety issue should be reported immediately to an authorized third-party vendor through your supervisor. All PIT equipment also gets annual maintenance from a qualified third-party vendor, with records kept locally.",Operators should not attempt to conduct maintenance on PIT equipment. Any operational or functional issues or safety concerns should be immediately identified to an authorized third-party vendor via the employee’s supervisor.,,,question_type=rule; drafted by claude-sonnet-5
G-10-011-04,golden,draft,10,10.11,74,What PPE do I need to wear when changing a PIT battery?,"Before changing a battery, a risk assessment must be completed to determine PPE needs. In general, a face shield and rubber gloves must be worn while changing batteries, unless the equipment has a preventative shield between the battery and the operator's station, in which case a face shield isn't required. Eye wash stations must also be available near the filling/charging area, and a spill kit must be on hand.","PPE (face shield, rubber gloves) must be worn while changing batteries. (If the equipment is equipped with a preventative shield between the battery and operators’ station, a face shield is not required.)",,,question_type=condition; drafted by claude-sonnet-5
G-11-007-01,golden,draft,11,11.7,84,"If I'm removing steps from an escalator with a helper, do I always need to LOTOTO the mainline before pulling the step?","Not necessarily. If the JHA establishes that redundant circuits (step, E-stop, carriage circuits) are tested and verified and there are no electrical hazards, LOTOTO may not be required as long as a second person is positioned at the mainline to keep it off. Otherwise, standard LOTOTO practices apply.","If the JHA establishes that redundant circuits (step, E-stop, carriage circuits) are tested and verified and there are no electrical hazards, then LOTOTO may not be necessary if no electrical hazard exists.",,,question_type=condition; drafted by claude-sonnet-5
G-11-007-02,golden,draft,11,11.7,83,Can I just ride the escalator to check a section if some steps are removed?,"Riding is only allowed if the unit is on Inspection circuit, there is only ONE opening, and barriers are in place. You must never ride the unit under any other condition when steps or pallets are removed since this has led to fatal incidents. Always do a written JHA before working with steps removed.","Riding is allowed if the unit is on an Inspection circuit, with only ONE OPENING and barriers are in place.",,,question_type=condition; drafted by claude-sonnet-5
G-11-004-03,golden,draft,11,11.4,82,How tall do escalator barricades need to be and how should they be attached?,"Barricades must be a minimum of 42 inches high and securely attached to the balustrades, handrails, and/or floor. All sections must be connected, and a system must keep the barricade rigid. They should fully surround the escalator/moving walk and any floor openings created by removed access plates.",Barricades shall be a minimum of 42 inches high.,,,question_type=threshold; drafted by claude-sonnet-5
G-11-008-04,golden,draft,11,11.8,84,"Even after I shut off the mainline disconnect on the controller, is everything definitely dead?","No — the 110-volt power supply may still be live at the junction box even after the mainline power has been disconnected. Always use a circuit tester to test all circuits before working on them, per LOTOTO procedures.","Be aware that the 110-volt power supply may still be live at the junction box, even after the mainline power has been disconnected. Use a circuit tester to test all circuits before working on them.",,,question_type=rule; drafted by claude-sonnet-5
G-13-007-01,golden,draft,13,13.7,110,Can I use chain slings when I'm hoisting elevator material?,"No, chain slings are not to be used for lifting or hoisting material. Axxiom Elevator does not use chain slings at all due to difficulties inspecting and certifying alloy steel chain slings. This applies company-wide, so use nylon or other approved slings instead.","Due to the difficulties in inspecting and certifying alloy steel chain slings, Axxiom Elevator does NOT use chain slings for lifting.",,,question_type=rule; drafted by claude-sonnet-5
G-13-012-02,golden,draft,13,13.12,117,How much of the beam's flange capacity can I actually load when hooking up a beam clamp?,"Before hoisting, confirm with your supervisor that the beam is rated for the maximum load you plan to hoist. Once confirmed, you must not load the lower flange of the beam to more than 50% of the beam's rated capacity. Also make sure the beam clamp itself is properly sized for that specific beam.",Confirm with your supervisor that the hoisting beam is rated to carry the maximum load to be hoisted. Do not load the lower flange to more than 50% of the beam’s capacity.,,,question_type=threshold; drafted by claude-sonnet-5
G-13-008-03,golden,draft,13,13.8,112,I noticed a few broken wires on a wire rope sling - how many broken wires means it's actually unsafe to use?,"A wire rope sling must be taken out of service if six randomly distributed wires are broken in one lay, or if three wires are broken within one strand of a single lay. Also check the end fittings and other components, not just the wire itself, since damage there can also make the sling unsafe. If you're unsure, don't use it and report it to your supervisor.","If six randomly distributed wires in one lay are broken, or three wires in one strand of a rope lay are damaged, the sling shall not be used.",,,question_type=threshold; drafted by claude-sonnet-5
G-13-005-04,golden,draft,13,13.5,109,"When hoisting rails and I have to remove the guardrail at the hoistway opening, do I need fall protection?","Yes, if there is more than a 6 ft fall exposure when the guardrail must be removed to feed rails into the hoistway, the employee feeding the rails must be protected by a personal fall arrest system attached to a lifeline. You should also keep the guardrail system in place on any unused portions of the hoistway and keep other people out of the hoisting area.","When hoisting rails into a hoistway, and the guardrail system must be removed to allow access, if there is more than a 6 ft fall exposure, the employee feeding rails into the hoistway shall be protected from falling into the hoistway by a personal fall arrest system attached to a lifeline.",,,question_type=condition; drafted by claude-sonnet-5
